,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
708,Fontana Unified,Fontana Unified,74.87%,2.23%,97.76%,97.59%,8.41%,5.19%,0.52,0,45.90%,25.13%,2.10%,87.86%,9.76%,62.71%,75.21%,76.47%,70.18%,76.47%,70.18%,99.39%,0,1,100.00%,86.15%,98.80%,87.37%,87.37%,100.00%
709,Foothill Leadership Academy,Tuolumne County,NC,NC,70.00%,70.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
710,Forest Charter,Nevada County,NC,NC,94.34%,92.45%,20.00%,16.33%,0.00,0,98.94%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
711,Forest Hill Elementary,Santa Clara Area III,NC,NC,90.32%,90.32%,39.29%,35.71%,0.00,0,39.22%,60.78%,0.00%,19.61%,37.25%,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,100.00%,NC,NC,NC,NC,NC
712,Forest Ranch Charter,Butte County,NC,NC,84.62%,76.92%,NC,NC,0.00,0,90.00%,5.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
713,Foresthill Union Elementary,Placer County,NC,NC,100.00%,100.00%,17.65%,20.59%,0.00,0,66.67%,13.33%,6.67%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
714,Forestville Academy,Sonoma County,NC,NC,100.00%,100.00%,12.50%,16.67%,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
715,Forestville Union Elementary,Sonoma County,NC,NC,0.00%,0.00%,NC,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
716,Fort Bragg Unified,Mendocino County,NC,NC,94.29%,94.29%,18.18%,8.08%,0.00,0,48.90%,17.58%,1.10%,96.43%,3.57%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
717,Fort Ross Elementary,Sonoma County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
718,Fort Sage Unified,Lassen County,NC,NC,91.67%,100.00%,NC,NC,0.00,0,54.55%,4.55%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
719,Fortuna Elementary,Humboldt-Del Norte,NC,NC,98.85%,99.43%,12.21%,12.14%,0.60,0,48.65%,29.73%,0.45%,58.33%,25.00%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
720,Fortuna Union High,Humboldt-Del Norte,82.61%,0.00%,93.75%,84.38%,10.00%,0.00%,4.43,1,46.83%,11.71%,0.98%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,1,2,NC,NC,100.00%,NC,NC,NC
721,Fortune,El Dorado County Charter,NC,NC,100.00%,97.14%,11.43%,13.24%,0.00,0,92.68%,4.07%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
722,Fountain Valley Elementary,West Orange County,NC,NC,96.10%,95.87%,31.26%,28.95%,0.00,0,53.60%,32.80%,0.60%,38.89%,61.11%,NC,92.31%,NC,92.31%,NC,96.30%,99.85%,0,0,100.00%,NC,NC,NC,NC,NC
723,Fowler Unified,Fresno County,NC,NC,88.49%,88.49%,24.39%,22.76%,NC,0,67.87%,23.98%,1.81%,60.00%,8.00%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
724,Francophone Charter School of Oakland,El Dorado County Charter,NC,NC,77.78%,77.78%,NC,NC,NC,NC,80.95%,19.05%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
725,Franklin Elementary,Sutter County,NC,NC,94.29%,97.14%,57.58%,61.76%,0.00,0,71.43%,19.05%,2.38%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
726,Franklin-McKinley Elementary,Southeast Consortium,NC,NC,97.37%,97.19%,13.29%,13.51%,NC,0,59.34%,25.86%,3.16%,35.80%,33.52%,63.64%,66.67%,72.73%,70.45%,84.00%,63.04%,99.80%,0,3,100.00%,90.91%,NC,NC,NC,NC
727,Fremont Unified,Mission Valley,75.11%,4.68%,96.67%,96.36%,23.61%,22.17%,0.36,0,55.65%,23.71%,3.46%,10.86%,41.48%,66.13%,68.64%,70.59%,70.34%,78.85%,69.31%,99.88%,1,3,100.00%,92.73%,100.00%,63.93%,96.72%,100.00%
728,Fremont Union High,Santa Clara Area II,77.21%,5.33%,83.67%,85.26%,24.29%,18.22%,1.00,0,40.87%,11.53%,5.35%,NC,NC,NC,NC,NC,NC,NC,NC,99.92%,2,4,100.00%,NC,100.00%,73.28%,87.93%,99.14%
729,French Gulch-Whiskeytown Elementary,Shasta County,NC,NC,50.00%,75.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
730,Freshwater Charter Middle,Humboldt-Del Norte,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
