,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
1179,Long Valley Charter,Lassen County,NC,NC,100.00%,100.00%,30.77%,26.92%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1180,Long Valley Charter - Susanville,Lassen County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,83.87%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1181,Loomis Basin Charter,Placer County,NC,NC,95.83%,95.83%,34.78%,26.09%,0.00,0,92.59%,3.70%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1182,Loomis Union Elementary,Placer County,NC,NC,91.14%,91.77%,22.22%,15.17%,0.00,0,72.50%,10.63%,2.50%,44.44%,55.56%,NC,NC,NC,NC,NC,NC,99.23%,0,0,100.00%,NC,NC,NC,NC,NC
1183,Los Alamitos Unified,Greater Anaheim,80.00%,5.66%,93.67%,93.89%,48.87%,40.13%,NC,0,65.37%,13.66%,2.56%,64.57%,17.32%,NC,100.00%,NC,NC,NC,NC,99.92%,0,0,100.00%,100.00%,100.00%,NC,NC,NC
1184,Los Altos Elementary,Santa Clara Area I,NC,NC,97.39%,96.74%,48.16%,45.45%,0.00,0,74.66%,11.02%,1.10%,68.29%,0.00%,NC,NC,NC,NC,NC,NC,99.81%,0,1,100.00%,NC,NC,NC,NC,NC
1185,Los Angeles Academy of Arts and Enterprise,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1186,Los Angeles College Prepatory Academy,Southwest Serv Area,NC,NC,71.43%,57.14%,NC,NC,0.00,0,88.46%,3.85%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1187,Los Angeles County Office of Education,Southwest Serv Area,38.55%,NC,73.43%,72.46%,7.24%,2.67%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC
1188,Los Angeles County Office of Education,Mid-Cities,38.55%,NC,73.43%,72.46%,7.24%,2.67%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1189,Los Angeles County Office of Education,West San Gabriel Valley,38.55%,NC,73.43%,72.46%,7.24%,2.67%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1190,Los Angeles County Office of Education,Los Angeles County Court Schools,38.55%,0.00%,73.43%,72.46%,7.24%,2.67%,NC,NC,0.26%,19.39%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,13.70%,NC,NC,96.67%,NC,99.90%,38.71%,51.61%,51.61%
1191,Los Angeles County Office of Education,Downey-Montebello,38.55%,NC,73.43%,72.46%,7.24%,2.67%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1192,Los Angeles Leadership Academy,Los Angeles Unified,NC,NC,93.94%,93.94%,0.00%,0.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.59%,NC,NC,NC,NC,100.00%,NC,NC,NC
1193,Los Angeles Leadership Primary Academy,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1194,Los Angeles Unified,Los Angeles Unified,59.62%,35.28%,95.08%,94.64%,10.41%,8.15%,0.04,0,52.22%,18.48%,8.15%,46.91%,42.64%,79.66%,80.04%,82.34%,78.97%,80.44%,77.79%,99.13%,0,1,100.00%,91.87%,99.95%,52.32%,52.32%,67.25%
1195,Los Banos Unified,Merced County,85.59%,0.81%,91.41%,91.15%,9.40%,6.75%,0.41,0,58.61%,17.14%,1.00%,68.37%,14.29%,NC,NC,NC,NC,NC,NC,99.58%,0,0,100.00%,90.48%,99.70%,NC,NC,NC
1196,Los Feliz Charter Middle School for the Arts,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1197,Los Feliz Charter School for the Arts,Los Angeles Unified,NC,NC,93.75%,93.75%,26.67%,10.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1198,Los Gatos Union Elementary,Santa Clara Area III,NC,NC,93.66%,94.63%,34.90%,32.47%,NC,0,65.33%,11.56%,2.22%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1199,Los Gatos-Saratoga Joint Union High,Santa Clara Area III,91.21%,0.00%,84.27%,77.53%,52.00%,31.88%,0.48,0,56.87%,14.02%,3.23%,NC,NC,NC,NC,NC,NC,NC,NC,99.75%,0,0,100.00%,NC,100.00%,85.39%,89.89%,97.75%
1200,Los Molinos Unified,Tehama County,NC,NC,97.44%,97.44%,26.32%,13.16%,0.00,0,66.20%,16.90%,2.82%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1201,Los Nietos,Whittier Area Co-op,NC,NC,96.68%,96.68%,17.16%,11.76%,NC,0,56.49%,25.10%,4.18%,56.60%,43.40%,NC,NC,NC,NC,NC,NC,99.74%,0,0,100.00%,NC,NC,NC,NC,NC
1202,Los Olivos Elementary,Santa Barbara County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,65.22%,4.35%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,96.00%,0,0,NC,NC,NC,NC,NC,NC
1203,Lost Hills Union Elementary,Kern County Consortium,NC,NC,100.00%,96.88%,12.50%,6.45%,0.00,0,65.71%,8.57%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.21%,0,0,NC,NC,NC,NC,NC,NC
1204,Lowell Joint,North Orange County,NC,NC,93.70%,93.70%,22.53%,16.21%,0.00,0,64.48%,21.04%,0.27%,50.00%,48.48%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1205,Lucerne Elementary,Lake County,NC,NC,100.00%,100.00%,10.34%,3.45%,0.00,0,84.38%,9.38%,3.13%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1206,Lucerne Valley Unified,Desert Mountain,NC,NC,100.00%,100.00%,12.07%,6.90%,1.31,0,30.58%,31.40%,2.48%,NC,NC,NC,NC,NC,NC,NC,NC,99.37%,0,0,NC,NC,100.00%,NC,NC,NC
1207,Lucia Mar Unified,San Luis Obispo County,77.14%,5.07%,93.44%,93.33%,17.60%,11.37%,0.61,0,54.15%,15.70%,0.51%,66.44%,32.89%,NC,88.24%,NC,85.29%,NC,82.35%,99.89%,0,0,100.00%,100.00%,100.00%,41.03%,64.10%,79.49%
1208,Luis Valdez Leadership Academy,Sonoma County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,98.11%,0.00%,1.89%,NC,NC,NC,NC,NC,NC,NC,NC,98.31%,0,1,NC,NC,100.00%,NC,NC,NC
1209,Luther Burbank,Santa Clara Area III,NC,NC,100.00%,100.00%,9.76%,7.32%,0.00,0,59.57%,31.91%,4.26%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1210,Lynhaven Elementary,Santa Clara Area III,NC,NC,95.45%,95.45%,12.70%,14.29%,0.00,0,33.01%,56.31%,0.97%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,100.00%,NC,NC,NC,NC,NC
1211,Lynwood Unified,Mid-Cities,89.22%,2.54%,96.77%,96.49%,14.90%,11.02%,NC,0,43.63%,39.43%,2.93%,22.45%,49.66%,NC,77.42%,NC,68.97%,NC,76.67%,94.47%,0,0,100.00%,26.92%,100.00%,44.23%,59.62%,59.62%
1212,MAAC Community Charter,El Dorado County Charter,NC,4.76%,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1213,MIT Academy,Sonoma County Charter,NC,NC,81.82%,81.82%,NC,NC,0.00,0,88.37%,6.98%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1214,MIT Griffin Academy Middle,Sonoma County Charter,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1215,Madera County Independent Academy,Madera-Mariposa County,NC,NC,85.71%,85.71%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1216,Madera Unified,Madera-Mariposa County,77.88%,1.49%,97.63%,97.74%,9.36%,5.94%,0.79,0,59.33%,18.34%,5.79%,37.11%,36.77%,NC,91.30%,NC,86.96%,NC,91.30%,99.84%,1,5,100.00%,90.91%,100.00%,25.00%,46.43%,53.57%
1217,Magnolia Elementary,Greater Anaheim,NC,NC,96.99%,96.99%,19.90%,18.09%,0.00,0,64.51%,27.73%,1.66%,43.84%,52.74%,66.67%,66.67%,57.14%,75.56%,NC,68.18%,99.76%,0,0,100.00%,100.00%,NC,NC,NC,NC
1218,Magnolia Science Academy,El Dorado County Charter,NC,NC,98.31%,98.31%,8.62%,5.17%,0.00,0,97.89%,1.05%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.11%,0,1,NC,NC,100.00%,NC,NC,NC
1219,Magnolia Science Academy 2,El Dorado County Charter,NC,NC,97.83%,97.83%,15.56%,15.56%,0.00,0,96.20%,3.80%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
1220,Magnolia Science Academy 3,El Dorado County Charter,NC,NC,97.14%,97.14%,5.88%,0.00%,0.00,0,86.96%,13.04%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1221,Magnolia Science Academy 4,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,90.48%,2.38%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1222,Magnolia Science Academy 5,El Dorado County Charter,NC,NC,100.00%,100.00%,17.39%,30.43%,NC,NC,95.35%,4.65%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
1223,Magnolia Science Academy 6,Los Angeles Unified,NC,NC,100.00%,100.00%,6.45%,12.90%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1224,Magnolia Science Academy 7,Los Angeles Unified,NC,NC,96.00%,96.00%,25.00%,25.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1225,Magnolia Science Academy Bell,Los Angeles Unified,NC,NC,100.00%,100.00%,14.00%,10.00%,0.00,0,98.04%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1226,Magnolia Science Academy San Diego,El Dorado County Charter,NC,NC,91.94%,91.94%,28.07%,22.81%,0.00,0,93.22%,5.08%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1227,Magnolia Science Academy Santa Ana,El Dorado County Charter,NC,NC,100.00%,100.00%,11.29%,12.90%,0.00,0,86.32%,1.05%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1228,Magnolia Union Elementary,Imperial County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1229,Maidu Virtual Charter Academy,Placer County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1230,Making Waves Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,5.13%,5.13%,0.00,0,98.11%,1.89%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1231,Mammoth Unified,Mono County,NC,NC,100.00%,100.00%,21.43%,16.07%,0.00,0,74.16%,10.11%,0.00%,75.00%,15.00%,NC,NC,NC,NC,NC,NC,98.36%,0,0,NC,NC,100.00%,NC,NC,NC
1232,Manchester Union Elementary,Mendocino County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1233,Manhattan Beach Unified,Southwest Serv Area,92.65%,0.00%,90.06%,89.68%,55.42%,48.12%,NC,0,70.70%,8.67%,4.56%,30.12%,2.41%,NC,96.30%,NC,96.30%,NC,100.00%,99.91%,0,1,100.00%,NC,100.00%,95.24%,95.24%,100.00%
1234,Manteca Unified,San Joaquin County,78.97%,5.20%,95.93%,95.65%,11.82%,6.67%,0.46,0,38.73%,27.01%,2.79%,69.65%,16.92%,100.00%,91.30%,94.74%,86.96%,97.62%,82.61%,99.75%,0,1,100.00%,96.77%,100.00%,NC,NC,NC
1235,Manzanita Elementary,Butte County,NC,NC,81.25%,81.25%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1236,Manzanita Middle,West Contra Costa Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1237,Manzanita Public Charter,Santa Barbara County,NC,NC,100.00%,100.00%,21.43%,14.29%,0.00,0,76.09%,2.17%,2.17%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1238,Maple Creek Elementary,Humboldt-Del Norte,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1239,Maple Elementary,Kern County Consortium,NC,NC,100.00%,100.00%,0.00%,0.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1240,Marconi Learning Academy,Fresno County Charter,NC,30.30%,100.00%,100.00%,NC,NC,NC,NC,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1241,Marcum-Illinois Union Elementary,Sutter County,NC,NC,83.33%,83.33%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1242,Mare Island Technology Academy,Sonoma County Charter,NC,NC,96.15%,96.15%,8.00%,4.00%,0.00,0,80.77%,19.23%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1243,Maria Montessori Charter Academy,Placer County,NC,NC,80.00%,75.00%,43.75%,33.33%,NC,NC,78.57%,14.29%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1244,Maricopa Unified,Kern County Consortium,NC,NC,100.00%,100.00%,3.70%,3.70%,NC,0,57.14%,31.43%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1245,Mariposa County Unified,Madera-Mariposa County,91.67%,3.23%,90.59%,89.41%,23.38%,13.16%,1.03,1,62.24%,22.45%,2.04%,48.00%,4.00%,NC,NC,NC,NC,NC,NC,99.61%,0,1,100.00%,NC,98.28%,NC,NC,NC
1246,Mark Twain Union Elementary,Calaveras County,NC,NC,92.39%,92.39%,18.82%,5.88%,NC,0,66.40%,14.40%,2.40%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1247,Mark West Charter,Sonoma County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1248,Mark West Union Elementary,Sonoma County,NC,NC,92.59%,88.89%,4.00%,12.50%,0.00,0,52.63%,36.84%,10.53%,NC,NC,NC,NC,NC,NC,NC,NC,98.59%,0,0,NC,NC,NC,NC,NC,NC
1249,Marquez Charter,Los Angeles Unified,NC,NC,93.88%,93.88%,50.00%,32.61%,0.00,0,86.27%,5.88%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1250,Marshall Lane Elementary,Santa Clara Area III,NC,NC,100.00%,100.00%,56.00%,56.00%,0.00,0,96.97%,3.03%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1251,Martinez Unified,Contra Costa,63.46%,2.50%,94.04%,94.36%,18.33%,10.30%,0.62,0,43.39%,17.16%,4.93%,9.46%,50.00%,NC,85.71%,NC,80.95%,NC,85.71%,99.86%,0,0,100.00%,NC,100.00%,NC,NC,NC
1252,Mary Collins Charter School at Cherry Valley,Sonoma County,NC,NC,95.83%,95.83%,32.61%,6.52%,NC,0,69.09%,3.64%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1253,Marysville Charter Academy for the Arts,Yuba County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1254,Marysville Joint Unified,Yuba County,76.92%,2.80%,96.38%,96.52%,8.12%,6.31%,1.94,0,45.59%,21.15%,4.11%,50.65%,29.87%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,90.00%,100.00%,51.22%,82.93%,100.00%
1255,Math and Science College Preparatory,Los Angeles Unified,100.00%,7.69%,94.44%,94.44%,NC,NC,0.00,0,98.61%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,96.25%,NC,NC,NC,NC,100.00%,NC,NC,NC
1256,Matrix for Success Academy,Los Angeles Unified,NC,NC,100.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,96.30%,NC,NC,NC,NC,100.00%,NC,NC,NC
1257,Mattole Unified,Humboldt-Del Norte,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1258,Maxwell Unified,Colusa County,NC,NC,87.50%,95.83%,23.81%,17.39%,NC,0,92.86%,0.00%,2.38%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1259,McCabe Union Elementary,Imperial County,NC,NC,96.25%,96.25%,36.36%,29.87%,0.00,0,54.22%,18.07%,1.20%,52.00%,32.00%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1260,McCloud Union Elementary,Siskiyou County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1261,McFarland Unified,Kern County Consortium,NC,0.00%,98.27%,98.27%,14.71%,12.94%,0.00,0,81.23%,13.72%,0.72%,37.21%,41.86%,NC,NC,NC,NC,NC,NC,99.49%,0,0,100.00%,NC,100.00%,NC,NC,NC
1262,McGill School of Success,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1263,McKinleyville Union Elementary,Humboldt-Del Norte,NC,NC,94.16%,94.16%,15.86%,11.03%,NC,0,60.63%,17.19%,2.71%,38.71%,19.35%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1264,McKittrick Elementary,Kern County Consortium,NC,NC,87.50%,87.50%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1265,McSwain Union Elementary,Merced County,NC,NC,96.92%,96.92%,46.03%,34.92%,0.00,0,74.12%,7.06%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1266,Meadows Arts and Technology Elementary,Ventura County,NC,NC,94.12%,94.12%,NC,NC,0.00,0,97.06%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1267,Meadows Union Elementary,Imperial County,NC,NC,97.62%,97.62%,7.32%,4.88%,0.00,0,50.00%,11.54%,1.92%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1268,Mendocino County Office of Education,Mendocino County,NC,NC,61.54%,46.15%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,100.00%,NC,100.00%,NC,NC,NC
1269,Mendocino Unified,Mendocino County,NC,NC,97.62%,97.62%,14.63%,12.20%,0.00,0,60.32%,12.70%,3.17%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1270,Mendota Unified,Fresno County,NC,NC,100.00%,99.11%,12.50%,9.01%,0.83,0,50.27%,12.43%,5.95%,51.43%,5.71%,NC,NC,NC,NC,NC,NC,98.02%,0,0,100.00%,NC,100.00%,NC,NC,NC
1271,Menifee Union Elementary,Riverside County,NC,NC,94.98%,94.87%,18.39%,12.57%,0.12,0,52.04%,24.22%,1.44%,30.56%,33.33%,90.48%,87.04%,92.86%,83.02%,80.77%,77.78%,100.00%,1,0,99.52%,64.52%,NC,NC,NC,NC
1272,Menlo Park City Elementary,San Mateo County,NC,NC,96.53%,95.45%,38.32%,33.93%,0.00,0,61.16%,7.14%,1.34%,64.10%,33.33%,NC,NC,NC,NC,NC,NC,100.00%,0,1,100.00%,NC,NC,NC,NC,NC
1273,Merced City Elementary,Merced County,NC,NC,98.18%,98.18%,7.68%,5.26%,0.42,0,57.35%,25.95%,2.10%,47.92%,15.28%,NC,NC,NC,NC,NC,NC,99.65%,0,0,100.00%,100.00%,NC,NC,NC,NC
1274,Merced County Office of Education,Merced County,15.95%,0.00%,88.16%,88.42%,5.07%,2.08%,16.46,1,61.40%,19.30%,8.77%,NC,NC,62.79%,44.62%,43.59%,43.75%,52.78%,57.81%,97.56%,1,0,100.00%,NC,100.00%,NC,NC,NC
1275,Merced River Union Elementary,Merced County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1276,Merced Scholars Charter,Merced County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1277,Merced Union High,Merced County,85.19%,2.09%,96.02%,96.02%,7.47%,0.83%,0.14,0,63.24%,16.82%,2.18%,NC,NC,NC,NC,NC,NC,NC,NC,99.31%,0,0,100.00%,NC,99.03%,NC,NC,NC
1278,Meridian Elementary,Sutter County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,78.99%,7.97%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1279,Mesa Union Elementary,Ventura County,NC,NC,100.00%,100.00%,13.51%,10.81%,0.00,0,71.70%,9.43%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1280,"Method Schools, LA",Antelope Valley,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1281,MethodSchools,East County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,96.30%,NC,NC,NC,NC,NC,NC,NC,NC
1282,Metro Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1283,Mid Valley Alternative Charter,Kings County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1284,Middletown Unified,Lake County,86.96%,3.85%,88.29%,90.09%,19.39%,12.00%,0.00,0,60.56%,11.11%,2.78%,NC,NC,NC,NC,NC,NC,NC,NC,99.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
1285,Midway Elementary,Kern County Consortium,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1286,Mill Valley Elementary,Marin County,NC,NC,91.42%,91.42%,59.59%,58.37%,0.47,0,77.47%,5.46%,1.71%,82.35%,17.65%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1287,Millbrae Elementary,San Mateo County,NC,NC,97.45%,98.73%,22.88%,25.16%,0.00,0,62.37%,14.43%,2.58%,83.33%,16.67%,NC,NC,NC,NC,NC,NC,100.00%,0,1,100.00%,NC,NC,NC,NC,NC
1288,Millennium Charter,San Joaquin County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
