,name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,_merge
46,Diamond SD 7,,,73.0,,10.6,No ,No ,No ,No ,,,,,,,,,,,,,,,,,left_only
47,Double O SD 28,,,73.0,,10.6,No ,No ,No ,No ,,,,,,,,,,,,,,,,,left_only
48,Douglas County SD 15,23.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,,,,,,,,,,,,,,,left_only
49,Douglas County SD 4,673.0,59.58,73.0,15.75,10.6,No ,No ,No ,No ,36.71,8.57,,,,,,,,,,,,,,,left_only
50,Drewsey SD 13,,,73.0,,10.6,No ,No ,No ,No ,,,,,,,,,,,,,,,,,left_only
51,Dufur SD 29,36.0,94.44,73.0,5.56,10.6,No ,No ,No ,No ,,0.0,41.0,4410.0,4104410.0,Dufur SD 29,0.0,KG,12.0,G5420,,E,1287051075.0,10304068.0,45.436888,-121.1338078,both
52,Eagle Point SD 9,507.0,77.91,73.0,10.65,10.6,Yes,No ,No ,No ,46.34,5.1,41.0,4500.0,4104500.0,Eagle Point SD 9,0.0,KG,12.0,G5420,,E,1686205023.0,11726156.0,42.7354527,-122.9164807,both
53,Echo SD 5,45.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,41.0,4530.0,4104530.0,Echo SD 5,0.0,KG,12.0,G5420,,E,553634082.0,738.0,45.6819388,-119.2326637,both
54,Elgin SD 23,48.0,81.25,73.0,6.25,10.6,No ,No ,No ,No ,,0.0,41.0,4590.0,4104590.0,Elgin SD 23,0.0,KG,12.0,G5420,,E,952997545.0,391729.0,45.6660646,-117.8942184,both
55,Elkton SD 34,25.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,41.0,4620.0,4104620.0,Elkton SD 34,0.0,KG,12.0,G5420,,E,782062384.0,8815193.0,43.6412027,-123.6042323,both
56,Enterprise SD 21,63.0,87.3,73.0,7.94,10.6,No ,No ,No ,No ,,0.0,41.0,5080.0,4105080.0,Enterprise SD 21,0.0,KG,12.0,G5420,,E,2112918819.0,1015176.0,45.7675945,-117.1601225,both
57,Estacada SD 108,312.0,73.72,73.0,7.69,10.6,No ,No ,No ,No ,28.89,6.4,41.0,4700.0,4104700.0,Estacada SD 108,0.0,KG,12.0,G5420,,E,1825577824.0,9704525.0,45.0986475,-122.0560139,both
58,Eugene SD 4J,2239.0,64.9,73.0,7.32,10.6,No ,No ,No ,No ,45.5,8.27,41.0,4740.0,4104740.0,Eugene SD 4J,0.0,KG,12.0,G5420,,E,384410657.0,10889942.0,44.0785136,-123.2753693,both
59,Falls City SD 57,37.0,91.89,73.0,2.7,10.6,No ,No ,No ,No ,,5.88,41.0,3.0,4100003.0,Falls City SD 57,0.0,KG,12.0,G5420,,E,355145415.0,1906474.0,44.8317294,-123.6091855,both
60,Fern Ridge SD 28J,225.0,68.89,73.0,12.89,10.6,No ,No ,No ,No ,52.38,16.13,41.0,4950.0,4104950.0,Fern Ridge SD 28J,0.0,KG,12.0,G5420,,E,542671432.0,21081821.0,44.0138359,-123.5223997,both
61,Forest Grove SD 15,893.0,76.82,73.0,5.38,10.6,Yes,No ,No ,No ,58.46,5.63,41.0,5160.0,4105160.0,Forest Grove SD 15,0.0,KG,12.0,G5420,,E,491423116.0,4268549.0,45.5570098,-123.2581874,both
62,Fossil SD 21J,43.0,97.67,73.0,0.0,10.6,No ,No ,No ,No ,,,41.0,5250.0,4105250.0,Fossil SD 21J,0.0,KG,12.0,G5420,,E,1619448653.0,1161384.0,44.9231589,-120.2196697,both
63,Frenchglen SD 16,25.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,,,,,,,,,,,,,,,left_only
64,Gaston SD 511J,96.0,95.83,73.0,3.13,10.6,No ,No ,No ,No ,42.86,2.63,41.0,5430.0,4105430.0,Gaston SD 511J,0.0,KG,12.0,G5420,,E,157427671.0,1225609.0,45.44811,-123.2750916,both
65,Gervais SD 1,171.0,87.13,73.0,6.43,10.6,No ,No ,No ,No ,50.0,7.46,41.0,15.0,4100015.0,Gervais SD 1,0.0,KG,12.0,G5420,,E,179558776.0,1858348.0,45.08048,-122.9424527,both
66,Gladstone SD 115,247.0,69.64,73.0,6.88,10.6,No ,No ,No ,No ,83.33,3.37,41.0,5610.0,4105610.0,Gladstone SD 115,0.0,KG,12.0,G5420,,E,5986347.0,95157.0,45.3856499,-122.5928265,both
67,Glendale SD 77,54.0,77.78,73.0,11.11,10.6,No ,No ,No ,No ,,13.64,41.0,5640.0,4105640.0,Glendale SD 77,0.0,KG,12.0,G5420,,E,774478304.0,95541.0,42.7751544,-123.3548262,both
68,Glide SD 12,91.0,60.44,73.0,1.1,10.6,No ,No ,No ,No ,100.0,2.94,41.0,5670.0,4105670.0,Glide SD 12,0.0,KG,12.0,G5420,,E,3318963357.0,19450579.0,43.2802522,-122.6249232,both
69,Grants Pass SD 7,726.0,61.98,73.0,15.56,10.6,No ,No ,No ,No ,63.41,4.46,41.0,5910.0,4105910.0,Grants Pass SD 7,0.0,KG,12.0,G5420,,E,62885739.0,458505.0,42.4293338,-123.3443389,both
70,Greater Albany Public SD 8J,1198.0,74.79,73.0,9.35,10.6,No ,No ,No ,No ,61.18,2.84,,,,,,,,,,,,,,,left_only
71,Gresham-Barlow SD 10J,1430.0,63.29,73.0,10.28,10.6,Yes,No ,No ,No ,55.74,4.6,,,,,,,,,,,,,,,left_only
72,Harney County SD 3,101.0,77.23,73.0,2.97,10.6,No ,No ,No ,No ,53.85,6.52,41.0,2490.0,4102490.0,Harney County SD 3,0.0,KG,12.0,G5420,,E,3390058540.0,2635138.0,43.7200398,-119.1203883,both
