,name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout,LEA-old,LEA,_merge
94,Knappa SD 4,89.0,80.9,73.0,5.62,10.6,No ,No ,No ,No ,,3.85,40,000040,both
95,La Grande SD 1,350.0,67.14,73.0,8.0,10.6,Yes,No ,No ,No ,80.77,0.95,7200,007200,both
96,Lake County SD 7,90.0,65.56,73.0,4.44,10.6,No ,No ,No ,No ,100.0,2.94,,,left_only
97,Lake Oswego SD 7J,663.0,76.62,73.0,0.45,10.6,No ,No ,No ,No ,78.46,2.0,7230,007230,both
98,Lebanon Community SD 9,661.0,79.27,73.0,7.56,10.6,Yes,No ,No ,No ,55.56,9.5,7380,007380,both
99,Lincoln County SD,779.0,65.73,73.0,15.92,10.6,No ,No ,No ,No ,71.93,1.75,7500,007500,both
100,Long Creek SD 17,,,73.0,,10.6,No ,No ,No ,No ,,,7530,007530,both
101,Lowell SD 71,92.0,92.39,73.0,4.35,10.6,No ,No ,No ,No ,100.0,0.0,7590,007590,both
102,Mapleton SD 32,25.0,76.0,73.0,12.0,10.6,No ,No ,No ,No ,,0.0,7710,007710,both
103,Marcola SD 79J,54.0,90.74,73.0,3.7,10.6,No ,No ,No ,No ,71.43,0.0,7740,007740,both
104,McKenzie SD 68,32.0,75.0,73.0,3.13,10.6,No ,No ,No ,No ,,0.0,7980,007980,both
105,McMinnville SD 40,803.0,79.2,73.0,11.21,10.6,No ,No ,No ,No ,77.59,1.44,8010,008010,both
106,Medford SD 549C,2098.0,76.6,73.0,10.63,10.6,Yes,No ,No ,No ,74.36,3.62,8040,008040,both
107,Milton-Freewater Unified SD 7,196.0,75.51,73.0,8.16,10.6,No ,No ,No ,No ,53.33,12.96,8160,008160,both
108,Mitchell SD 55,61.0,86.89,73.0,13.11,10.6,No ,No ,No ,No ,16.67,48.78,8280,008280,both
109,Molalla River SD 35,377.0,74.54,73.0,7.69,10.6,No ,No ,No ,No ,54.17,2.26,8310,008310,both
110,Monroe SD 1J,59.0,71.19,73.0,3.39,10.6,No ,No ,No ,No ,,0.0,8430,008430,both
